stationID,name,address,latitude,longitude,bonus,status,contract_name,bike_stands,available_bike_stands,available_bikes,last_update
72,ULB SOLBOSCH / VUB  SOLBOSCH(FERM?E-TRAVAUX),FERM?E-TRAVAUX STIB - ULB SOLBOSCH / VUB SOLBOSCH - AV. F.ROOSEVELT/F.ROOSEVELTLAAN 19,50.812489,4.379203,TRUE,CLOSED,Bruxelles-Capitale,27,2,0,2018-02-15T21:39:44+00:00
327,SIBELGA,SIBELGA - QUAI DES USINES / WERKHUIZENKAAI 16,50.874082,4.362205,FALSE,OPEN,Bruxelles-Capitale,20,12,6,2018-03-03T03:12:15+00:00
256,VAN OVERBEKE,VAN OVERBEKE / AV VAN OVERBEKE / VAN OVERBEKELAAN,50.874767,4.308977,FALSE,OPEN,Bruxelles-Capitale,24,6,18,2018-03-03T17:31:14+00:00
97,KARREVELD,KARREVELD - CHAUSSEE DE GAND/ GENTSESTEENWEG 1-3,50.858058,4.318689,FALSE,OPEN,Bruxelles-Capitale,25,14,11,2018-03-03T17:31:33+00:00
193,GARE DE L'OUEST,"GARE DE L'OUEST - CHEE DE NINOVE 207,209 / NINOOFSESTEENWEG 207,209",50.848866,4.320628,FALSE,OPEN,Bruxelles-Capitale,30,27,3,2018-03-03T17:30:51+00:00
146,LEOPOLD III/LEOPOLD III,LEOPOLD III -  BOULEVARD LEOPOLD III / LEOPOLD III-LAAN,50.859243,4.401022,FALSE,OPEN,Bruxelles-Capitale,25,13,12,2018-03-03T17:31:28+00:00
174,MENNEKENS/MENNEKENS,MENNEKENS - AVENUE BRIGADE PIRON (FACE AUX 80 - 82 - 84)/ BRIGADE PIRONLAAN (TEGENOVER 80 - 82 - 84),50.853947,4.31635,FALSE,OPEN,Bruxelles-Capitale,22,6,16,2018-03-03T17:31:26+00:00
52,SAINCTELETTE,SAINCTELETTE - PLACE SAINCTELETTE/SAINCTELETTEPLEIN,50.859212,4.34551,FALSE,OPEN,Bruxelles-Capitale,25,4,21,2018-03-03T17:30:32+00:00
261,CONSCIENCE,CONSCIENCE - AVENUE HENRI CONSCIENCE / HENRI CONSCIENCELAAN 83,50.86879,4.399587,FALSE,OPEN,Bruxelles-Capitale,20,5,15,2018-03-03T17:32:23+00:00
184,PHILIPPE BAUCQ,PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38,50.831592,4.385786,FALSE,OPEN,Bruxelles-Capitale,25,14,11,2018-03-03T17:32:13+00:00
36,PLACE ST JEAN / SINT-JANSPLEIN,PLACE ST JEAN/SINT-JANSPLEIN - RUE DU LOMBARD/LOMBARDSTRAAT 42,50.845124,4.351486,FALSE,OPEN,Bruxelles-Capitale,35,0,35,2018-03-03T17:32:29+00:00
305,PETER BENOIT,PETER BENOIT - PLACE PETER BENOIT PLAATS 2-4,50.895592,4.387965,FALSE,OPEN,Bruxelles-Capitale,25,20,5,2018-03-03T17:32:34+00:00
113,ABBAYE DE LA CAMBRE / ABDIJ TER KAMEREN,ABBAYE DE LA CAMBRE/ABDIJ TER KAMEREN - AVENUE EMILE DURAY (FACE AU N?? 2) /EMILE DURAYLAAN (TEGENOVER N?? 2),50.820042,4.374785,FALSE,OPEN,Bruxelles-Capitale,20,13,7,2018-03-03T17:32:47+00:00
228,ALTITUDE CENT / HOOGTE HONDERD,ALTITUDE CENT / HOOGTE HONDERD - PLACE DE L'ALTITUDE 100 (FACE 31) / HOOGTE HONDERDPLEIN (TEGENOVER 31),50.816525,4.336212,TRUE,OPEN,Bruxelles-Capitale,25,19,6,2018-03-03T17:33:13+00:00
207,BIESTEBROECK / BIESTEBROEK,BIESTEBROECK / BIESTEBROEK - CHEE DE MONS (FACE AU 518-526) / BERGENSESTEENWEG (TEGENOVER 518-526),50.833424,4.313378,FALSE,OPEN,Bruxelles-Capitale,25,16,7,2018-03-03T17:33:01+00:00
137,MAISON COMMUNALE DE SCHAERBEEK,MAISON COMMUNALE DE SCHAERBEEK / SCHAARBEEK GEMEENTEHUIS - RUE ROYALE SAINTE MARIE/KONINKLIJKE SINTE-MARIASTRAAT 241-243-245,50.86661,4.373102,FALSE,OPEN,Bruxelles-Capitale,25,10,15,2018-03-03T17:33:23+00:00
233,PARC DUDEN / DUDEN PARK,PARC DUDEN / DUDEN PARK - AV VICTOR ROUSSEAU FACE 132 / VICTOR ROUSSEAULAAN VOOR 132,50.813858,4.330992,TRUE,OPEN,Bruxelles-Capitale,20,3,17,2018-03-03T17:33:13+00:00
354,TRIOMPHE / TRIOMF,TRIOMPHE - BD DU TRIOMPHE / TRIOMFLAAN  105 - 107,50.821557,4.402288,TRUE,OPEN,Bruxelles-Capitale,20,7,13,2018-03-03T17:32:54+00:00
167,CHARLES V/KAREL V,CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131,50.869032,4.309731,FALSE,OPEN,Bruxelles-Capitale,22,10,12,2018-03-03T17:33:29+00:00
